"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-11-02,"MMSD-P8",36,33,51
2020-11-03,"MMSD-P11",120,133,40
2020-11-03,"MMSD-P18",97,109,26
2020-11-03,"MMSD-P2",105,91,43
2020-11-03,"MMSD-P7",34,43,15
2020-11-03,"MMSD-P8",35,44,22
2020-11-04,"MMSD-P11",113,109,47
2020-11-04,"MMSD-P18",98,86,53
2020-11-04,"MMSD-P2",102,106,36
2020-11-04,"MMSD-P7",33,33,35
2020-11-04,"MMSD-P8",47,39,36
2020-11-05,"MMSD-P11",114,115,91
2020-11-05,"MMSD-P18",100,94,98
2020-11-05,"MMSD-P2",75,84,97
2020-11-05,"MMSD-P7",41,40,33
2020-11-05,"MMSD-P8",31,47,49
2020-11-06,"MMSD-P11",104,116,103
2020-11-06,"MMSD-P18",76,96,75
2020-11-06,"MMSD-P2",114,131,76
2020-11-06,"MMSD-P7",27,41,28
2020-11-06,"MMSD-P8",39,36,32
2020-11-07,"MMSD-P11",93,85,42
2020-11-07,"MMSD-P18",73,50,31
2020-11-07,"MMSD-P2",60,39,56
2020-11-07,"MMSD-P7",17,18,14
2020-11-07,"MMSD-P8",28,24,13
2020-11-08,"MMSD-P11",38,20,44
2020-11-08,"MMSD-P18",45,23,38
2020-11-08,"MMSD-P2",63,5,57
2020-11-08,"MMSD-P7",24,10,20
2020-11-08,"MMSD-P8",25,10,24
2020-11-09,"MMSD-P11",90,72,170
2020-11-09,"MMSD-P18",84,72,142
2020-11-09,"MMSD-P2",118,114,102
2020-11-09,"MMSD-P7",44,35,52
2020-11-09,"MMSD-P8",42,43,41
2020-11-10,"MMSD-P11",111,119,104
2020-11-10,"MMSD-P18",114,128,71
2020-11-10,"MMSD-P2",114,146,78
2020-11-10,"MMSD-P7",44,48,43
2020-11-10,"MMSD-P8",43,38,35
2020-11-11,"MMSD-P11",100,133,113
2020-11-11,"MMSD-P18",99,116,107
2020-11-11,"MMSD-P2",114,129,143
2020-11-11,"MMSD-P7",31,32,34
2020-11-11,"MMSD-P8",38,54,51
2020-11-12,"MMSD-P11",97,127,79
