"Date","Site","FirstConfirmed"
2021-01-12,"Cedarburg WWTF",8
2021-01-12,"Chippewa Falls WWTF",11
2021-01-12,"Clintonville Wastewater Utility",1
2021-01-12,"Columbus WWTF",1
2021-01-12,"De Pere WWTF",29
2021-01-12,"Eau Claire WWTF",36
2021-01-12,"Fox River WPCC",14
2021-01-12,"Grafton Water & Wastewater Utility",7
2021-01-12,"Green Bay MSD",92
2021-01-12,"Hartford WPCF",8
2021-01-12,"Hayward WPCF",2
2021-01-12,"Heart of the Valley MSD",20
2021-01-12,"Hudson WWTF",3
2021-01-12,"Janesville WW Utility",9
2021-01-12,"Kenosha WWTF",39
2021-01-12,"La Crosse WWTP",37
2021-01-12,"Lake Geneva WWTP",1
2021-01-12,"Madison MSD WWTF",112
2021-01-12,"Manitowoc WWTF",5
2021-01-12,"Marinette Wastewater Utility",1
2021-01-12,"Marshfield WWTF",11
2021-01-12,"Mauston WWTF",1
2021-01-12,"Menomonie WWTF",12
2021-01-12,"Merrill WWTP",3
2021-01-12,"Milwaukee MSD Jones Island",178
2021-01-12,"Milwaukee MSD South Shore",324
2021-01-12,"Monroe WWTF",11
2021-01-12,"New Richmond WWTF",1
2021-01-12,"Oconomowoc WWTP",9
2021-01-12,"Oshkosh WWTP",8
2021-01-12,"Peshtigo WWTF",2
2021-01-12,"Platteville WWTF",1
2021-01-12,"Plymouth Utilities WWTF",3
2021-01-12,"Port Washington WWTP",6
2021-01-12,"Racine Wastewater Utility",34
2021-01-12,"Rhinelander WWTP",2
2021-01-12,"Rib Lake WWTF",1
2021-01-12,"Rib Mountain MSD WWTF",12
2021-01-12,"Sheboygan WWTP",18
2021-01-12,"South Milwaukee WWTF",12
2021-01-12,"Sparta WWTF",4
2021-01-12,"Spencer WWTP",1
2021-01-12,"Stevens Point WWTF",6
2021-01-12,"Sturgeon Bay Utilities WWTF",8
2021-01-12,"Sun Prairie WWTF",4
2021-01-12,"Superior WWTP",3
2021-01-12,"Watertown WWTP",11
2021-01-12,"Waukesha WWTP",42
2021-01-12,"Waupaca WWTF",2
2021-01-12,"Wausau Water Works WWTF",22
2021-01-12,"Wisconsin Rapids WWTF",6
2022-01-12,"Algoma WWTF",6
2022-01-12,"Appleton WWTF",124
2022-01-12,"Ashland Sewage Utility",9
2022-01-12,"Baraboo WWTF",96
2022-01-12,"Beloit WWTF",26
2022-01-12,"Berlin WWTF",17
2022-01-12,"Black River Falls WWTF",13
2022-01-12,"Burlington WPCC",8
2022-01-12,"Cedarburg WWTF",10
2022-01-12,"Chippewa Falls WWTF",79
2022-01-12,"Clintonville Wastewater Utility",10
2022-01-12,"Columbus WWTF",21
2022-01-12,"De Pere WWTF",150
2022-01-12,"Eau Claire WWTF",258
2022-01-12,"Fox River WPCC",15
2022-01-12,"Grafton Water & Wastewater Utility",8
2022-01-12,"Green Bay MSD",493
2022-01-12,"Hartford WPCF",21
2022-01-12,"Hayward WPCF",3
2022-01-12,"Heart of the Valley MSD",98
2022-01-12,"Hudson WWTF",60
2022-01-12,"Janesville WW Utility",47
2022-01-12,"Kenosha WWTF",257
2022-01-12,"La Crosse WWTP",190
2022-01-12,"Lac du Flambeau Tribal Water & Sewer",16
2022-01-12,"Lake Geneva WWTP",17
2022-01-12,"Lodi WWTF",9
2022-01-12,"Madison MSD WWTF",673
2022-01-12,"Manitowoc WWTF",88
2022-01-12,"Marinette Wastewater Utility",20
2022-01-12,"Marshfield WWTF",78
2022-01-12,"Mauston WWTF",6
2022-01-12,"Menomonie WWTF",48
2022-01-12,"Merrill WWTP",17
2022-01-12,"Milwaukee MSD Jones Island",533
2022-01-12,"Milwaukee MSD South Shore",915
2022-01-12,"Monroe WWTF",24
2022-01-12,"New Richmond WWTF",18
2022-01-12,"Oconomowoc WWTP",51
2022-01-12,"Oshkosh WWTP",230
2022-01-12,"Peshtigo WWTF",8
2022-01-12,"Platteville WWTF",31
2022-01-12,"Plymouth Utilities WWTF",34
2022-01-12,"Port Washington WWTP",26
2022-01-12,"Portage WWTF",57
2022-01-12,"Racine Wastewater Utility",231
2022-01-12,"Red Cliff WWTP",1
2022-01-12,"Rhinelander WWTP",12
2022-01-12,"Rib Lake WWTF",1
2022-01-12,"Rib Mountain MSD WWTF",172
2022-01-12,"River Falls Municipal Utility WWTF",30
2022-01-12,"Sheboygan WWTP",245
2022-01-12,"South Milwaukee WWTF",50
2022-01-12,"Sparta WWTF",43
2022-01-12,"Spencer WWTP",6
2022-01-12,"Spooner WWTP",8
2022-01-12,"Stevens Point WWTF",50
2022-01-12,"Sturgeon Bay Utilities WWTF",35
2022-01-12,"Sun Prairie WWTF",54
2022-01-12,"Superior WWTP",32
2022-01-12,"Viroqua WWTF",6
2022-01-12,"Washburn WWTP",3
2022-01-12,"Watertown WWTP",38
2022-01-12,"Waukesha WWTP",74
2022-01-12,"Waupaca WWTF",36
2022-01-12,"Wausau Water Works WWTF",143
2022-01-12,"Whitewater WWTF",11
2022-01-12,"Wisconsin Rapids WWTF",72
2021-01-13,"Algoma WWTF",1
2021-01-13,"Appleton WWTF",46
2021-01-13,"Ashland Sewage Utility",2
2021-01-13,"Baraboo WWTF",7
2021-01-13,"Beloit WWTF",26
2021-01-13,"Berlin WWTF",1
2021-01-13,"Burlington WPCC",7
2021-01-13,"Cedarburg WWTF",9
2021-01-13,"Chippewa Falls WWTF",10
2021-01-13,"Clintonville Wastewater Utility",1
2021-01-13,"Columbus WWTF",3
2021-01-13,"De Pere WWTF",33
2021-01-13,"Eau Claire WWTF",34
2021-01-13,"Fox River WPCC",19
2021-01-13,"Grafton Water & Wastewater Utility",2
2021-01-13,"Green Bay MSD",103
2021-01-13,"Hartford WPCF",5
2021-01-13,"Hayward WPCF",1
2021-01-13,"Heart of the Valley MSD",21
2021-01-13,"Hudson WWTF",4
2021-01-13,"Janesville WW Utility",25
2021-01-13,"Kenosha WWTF",67
2021-01-13,"La Crosse WWTP",16
2021-01-13,"Lake Geneva WWTP",9
2021-01-13,"Lodi WWTF",5
2021-01-13,"Madison MSD WWTF",175
2021-01-13,"Manitowoc WWTF",21
2021-01-13,"Marinette Wastewater Utility",5
2021-01-13,"Marshfield WWTF",6
2021-01-13,"Mauston WWTF",3
2021-01-13,"Menomonie WWTF",13
2021-01-13,"Merrill WWTP",2
2021-01-13,"Milwaukee MSD Jones Island",213
2021-01-13,"Milwaukee MSD South Shore",345
2021-01-13,"Monroe WWTF",4
2021-01-13,"New Richmond WWTF",4
2021-01-13,"Oconomowoc WWTP",8
2021-01-13,"Oshkosh WWTP",33
2021-01-13,"Peshtigo WWTF",2
2021-01-13,"Plymouth Utilities WWTF",5
2021-01-13,"Port Washington WWTP",8
2021-01-13,"Portage WWTF",3
