"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight"
"453",2021-06-24,"MMSD-P11",62,67,103,64
"454",2021-06-24,"MMSD-P18",44,28,39,43
"455",2021-06-25,"Madison",195,183,154,203
"456",2021-06-27,"Madison",208,243,190,229
"457",2021-06-28,"Madison",148,90,164,100
"458",2021-06-28,"MMSD-P2",53,44,45,104
"459",2021-06-28,"MMSD-P7",44,45,37,55
"460",2021-06-28,"MMSD-P8",103,103,41,51
"461",2021-06-28,"MMSD-P11",34,38,31,38
"462",2021-06-28,"MMSD-P18",77,80,62,76
"463",2021-06-29,"Madison",301,260,293,278
"464",2021-06-30,"Madison",131,261,115,266
"465",2021-07-01,"Madison",130,55,127,46
"466",2021-07-01,"MMSD-P2",59,57,105,105
"467",2021-07-01,"MMSD-P7",57,36,42,43
"468",2021-07-01,"MMSD-P8",104,104,47,104
"469",2021-07-01,"MMSD-P11",63,64,57,44
"470",2021-07-01,"MMSD-P18",25,43,29,45
"471",2021-07-02,"Madison",336,179,347,240
"472",2021-07-04,"Madison",212,327,153,324
"473",2021-07-05,"Madison",64,233,69,215
"474",2021-07-05,"MMSD-P2",46,52,106,53
"475",2021-07-05,"MMSD-P7",66,71,54,56
"476",2021-07-05,"MMSD-P8",105,105,105,105
"477",2021-07-05,"MMSD-P11",37,47,51,46
"478",2021-07-05,"MMSD-P18",62,60,60,57
"479",2021-07-06,"Madison",158,182,178,204
"480",2021-07-07,"Madison",209,201,189,168
"481",2021-07-08,"Madison",190,209,225,209
"482",2021-07-08,"MMSD-P2",51,49,43,45
"483",2021-07-08,"MMSD-P7",31,51,41,54
"484",2021-07-08,"MMSD-P8",106,106,106,106
"485",2021-07-08,"MMSD-P11",54,53,49,103
"486",2021-07-08,"MMSD-P18",45,31,48,37
"487",2021-07-09,"Madison",182,158,184,178
"488",2021-07-11,"Madison",233,120,215,93
"489",2021-07-12,"Madison",271,217,300,283
"490",2021-07-12,"MMSD-P18",74,82,68,78
"491",2021-07-12,"MMSD-P11",48,58,104,104
