"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","MaxN1Rank"
"350",2021-09-13,"MMSD-P7",6,7,7,8,596855,570164,-8
"351",2021-09-13,"MMSD-P8",19,40,67,28,184090,135755,-67
"352",2021-09-13,"MMSD-P11",92,89,94,92,147638,100411,-94
"353",2021-09-13,"MMSD-P18",59,56,31,43,260056,302782,-59
"354",2021-09-16,"MMSD-P2",11,81,17,58,339401,324637,-81
"355",2021-09-16,"MMSD-P7",99,95,98,97,202045,208691,-99
"356",2021-09-16,"MMSD-P8",67,74,79,74,172264,104137,-79
"357",2021-09-16,"MMSD-P11",16,16,13,17,295856,245147,-17
"358",2021-09-16,"MMSD-P18",49,32,62,32,283711,280357,-62
"359",2021-09-20,"MMSD-P18",73,85,73,56,185561,200564,-85
"360",2021-09-20,"MMSD-P11",89,65,88,38,134140,155564,-89
"361",2021-09-20,"MMSD-P8",33,25,33,82,201274,125966,-82
"362",2021-09-20,"MMSD-P7",11,91,9,29,410824,569744,-91
"363",2021-09-20,"MMSD-P2",27,6,50,14,405818,337074,-50
"364",2021-09-23,"MMSD-P2",102,93,94,81,148392,141990,-102
"365",2021-09-23,"MMSD-P7",15,10,77,9,562138,514592,-77
"366",2021-09-23,"MMSD-P8",82,92,25,44,150968,168548,-92
"367",2021-09-23,"MMSD-P11",40,43,67,62,152471,133163,-67
"368",2021-09-23,"MMSD-P18",20,59,49,78,357579,234380,-78
"369",2021-09-27,"MMSD-P2",15,57,27,97,331138,229065,-97
"370",2021-09-27,"MMSD-P7",96,26,97,66,290610,260616,-97
"371",2021-09-27,"MMSD-P8",15,84,63,96,256231,164749,-96
"372",2021-09-27,"MMSD-P11",62,98,43,97,148111,138573,-98
"373",2021-09-27,"MMSD-P18",46,79,27,89,393878,341481,-89
"374",2021-09-30,"MMSD-P2",51,19,11,7,336189,481682,-51
"375",2021-09-30,"MMSD-P7",80,19,40,12,241359,285022,-80
"376",2021-09-30,"MMSD-P8",23,13,11,6,312241,378760,-23
"377",2021-09-30,"MMSD-P11",7,9,8,7,494627,492228,-9
"378",2021-09-30,"MMSD-P18",26,10,16,10,519460,581387,-26
"379",2021-10-04,"MMSD-P18",95,93,95,88,100502,81696,-95
"380",2021-10-04,"MMSD-P11",96,77,98,68,132758,122553,-98
"381",2021-10-04,"MMSD-P8",94,81,101,57,172914,128467,-101
"382",2021-10-04,"MMSD-P7",87,85,94,90,137332,101734,-94
