"","Date", "Site", "N1RankLeft", "N1RankRight", "N2RankLeft", "N2RankRight", "N1", "N2", "MaxN1Rank"
"212",2021-06-07,"MMSD-P11",27,48,20,32,439420,591505,-48
"213",2021-06-07,"MMSD-P18",483,284,499,397,180133,171012,-499
"214",2021-06-10,"MMSD-P2",247,69,134,57,185594,242619,-247
"215",2021-06-10,"MMSD-P8",462,268.5,474,260,0,0,-474
"216",2021-06-10,"MMSD-P7",262.5,382,271,386,0,0,-386
"217",2021-06-10,"MMSD-P11",149,440,145,481,61066,65314,-481
"218",2021-06-10,"MMSD-P18",91,75,50,49,198437,304699,-91
"219",2021-06-14,"MMSD-P2",456,209,482,207,22821,24661,-482
"220",2021-06-14,"MMSD-P11",322,477,324,466,4231,4036,-477
"221",2021-06-14,"MMSD-P7",54,58,65,71,237837,183046,-71
"222",2021-06-14,"MMSD-P8",473,415,460,414,13212,8847,-473
"223",2021-06-14,"MMSD-P18",116,106,117,125,117539,97207,-125
"224",2021-06-17,"MMSD-P2",425,453,406,441,7891,6996,-453
"225",2021-06-17,"MMSD-P18",78,80,90,88,171090,143660,-90
"226",2021-06-17,"MMSD-P11",451,268.5,443,260,0,0,-451
"227",2021-06-17,"MMSD-P8",262.5,301,271,289,0,0,-301
"228",2021-06-17,"MMSD-P7",230,229,242,229,11054,9283,-242
"229",2021-06-21,"MMSD-P2",302,295,302,288,0,0,-302
"230",2021-06-21,"MMSD-P7",236,260,243,256,9027,8639,-260
"231",2021-06-21,"MMSD-P8",271,296,275,232,7867,8251,-296
"232",2021-06-21,"MMSD-P11",235,395,299,436,17598,0,-436
"233",2021-06-21,"MMSD-P18",136,124,95,97,94675,130674,-136
"234",2021-06-24,"MMSD-P2",407,285,434,304,5225,7208,-434
"235",2021-06-24,"MMSD-P7",246,323,227,221,10971,21913,-323
"236",2021-06-24,"MMSD-P8",208,279,310,338,32877,9898,-338
"237",2021-06-24,"MMSD-P11",252,336,193,372,36932,42644,-372
"238",2021-06-24,"MMSD-P18",195,151,159,124,64978,97880,-195
"239",2021-06-28,"MMSD-P2",380,263,407,271,8241,7513,-407
"240",2021-06-28,"MMSD-P7",268,241,260,244,7152,10680,-268
"241",2021-06-28,"MMSD-P8",290,280,287,254,0,6515,-290
"242",2021-06-28,"MMSD-P11",251,455,277,450,4306,5215,-455
"243",2021-06-28,"MMSD-P18",76,87,81,83,173376,156112,-87
"244",2021-07-01,"MMSD-P2",444,237,448,280,20232,0,-448
"245",2021-07-01,"MMSD-P7",294,225,251,257,11598,5899,-294
"246",2021-07-01,"MMSD-P8",306,333,274,290,0,5896,-333
"247",2021-07-01,"MMSD-P11",198,322,241,308,25111,15991,-322
"248",2021-07-01,"MMSD-P18",209,183,223,214,46830,32412,-223
"249",2021-07-05,"MMSD-P2",348,320,317,270,12847,14483,-348
"250",2021-07-05,"MMSD-P7",211,184,261,216,33710,16466,-261
"251",2021-07-05,"MMSD-P8",347,282,315,303,0,0,-347
"252",2021-07-05,"MMSD-P11",249,409,228,391,4807,13960,-409
"253",2021-07-05,"MMSD-P18",122,128,140,137,94769,82863,-140
"254",2021-07-08,"MMSD-P2",403,262,394,275,11798,6017,-403
"255",2021-07-08,"MMSD-P7",269,232,256,227,10708,10335,-269
"256",2021-07-08,"MMSD-P8",299,289,304,293,0,0,-304
"257",2021-07-08,"MMSD-P11",242,390,238,401,7480,10989,-401
"258",2021-07-08,"MMSD-P18",141,406,130,402,77995,84711,-406
"259",2021-07-12,"MMSD-P18",125,85,129,80,164715,160002,-129
"260",2021-07-12,"MMSD-P11",446,277,451,286,7945,0,-451
"261",2021-07-12,"MMSD-P8",254,267,245,250,10793,8100,-267
"262",2021-07-12,"MMSD-P7",264,287,281,301,10242,6182,-301
"263",2021-07-12,"MMSD-P2",244,240,230,266,16309,19165,-266
"264",2021-07-15,"MMSD-P2",291,258,265,237,9084,20105,-291
